status,style,street,city,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,price_per_sqft,latitude,longitude,county,house_age,style_CONDO,style_CONDOS,style_COOP,style_LAND,style_MOBILE,style_MULTI_FAMILY,style_OTHER,style_SINGLE_FAMILY,style_TOWNHOMES,total_baths,beds_times_sqft,total_baths_times_sqft
SOLD,CONDOS,60-70  Woodhaven Blvd,Elmhurst,11373,1.0,1.0,0.0,616.0,2007.0,399000.0,385000,625.0,40.73015,-73.871999,Queens,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,616.0,616.0
SOLD,SINGLE_FAMILY,172-08  26th Ave,Flushing,11358,4.0,2.0,0.0,1219.0,1945.0,1078888.0,980000,804.0,40.773235,-73.793241,Queens,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4876.0,2438.0
SOLD,CONDOS,505  Greenwich St,New York,10013,3.0,1.0,0.0,1595.0,2003.0,4250000.0,3950000,2476.0,40.725516,-74.008795,New York,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4785.0,1595.0
SOLD,MULTI_FAMILY,947  79th St,Brooklyn,11228,9.0,5.0,4.0,6550.0,1996.0,2075000.0,1980000,302.0,40.623102,-74.017605,Kings,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,58950.0,45850.0
SOLD,MULTI_FAMILY,9111  Colonial Rd,Brooklyn,11209,4.0,3.0,0.0,1500.0,1925.0,1385000.0,1300000,867.0,40.620898,-74.037665,Kings,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6000.0,4500.0
SOLD,CONDOS,350  Butler St,Brooklyn,11217,3.0,1.0,0.0,1531.0,2020.0,2415000.0,2300000,1502.0,40.679623,-73.981071,Kings,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4593.0,1531.0
SOLD,CONDOS,74-25  43 Ave,Elmhurst,11373,3.0,2.0,0.0,1381.5,2020.0,739000.0,705000,510.31487513572205,40.742538,-73.889771,Queens,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4144.5,2763.0
SOLD,SINGLE_FAMILY,33  Chart Loop,Staten Island,10309,2.0,2.0,1.0,2365.0,2006.0,799000.0,799000,338.0,40.528539,-74.240248,Richmond,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,4730.0,5912.5
SOLD,APARTMENT,6  Arc Pl,Staten Island,10306,3.0,2.0,0.0,1083.0,2008.0,549900.0,544401,503.0,40.569763,-74.122359,Richmond,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3249.0,2166.0
SOLD,MULTI_FAMILY,643  Huguenot Ave,Staten Island,10312,4.0,2.0,2.0,3264.0,2012.0,1295000.0,1275000,391.0,40.538921,-74.195021,Richmond,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13056.0,9792.0
SOLD,COOP,530 E 86th St,New York,10028,4.0,1.0,0.0,2900.0,1928.0,2750000.0,2700000,931.0,40.775162,-73.945808,New York,96.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11600.0,2900.0
SOLD,CONDOS,382  Sprague Ave,Staten Island,10307,2.0,1.0,0.0,1188.0,1986.0,459000.0,450000,379.0,40.501999,-74.237228,Richmond,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2376.0,1188.0
SOLD,SINGLE_FAMILY,2041 E 64th St,Brooklyn,11234,3.0,1.0,0.0,1325.0,1920.0,699000.0,685000,517.0,40.617371,-73.913113,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3975.0,1325.0
SOLD,CONDOS,1400  Fifth Ave,New York,10026,3.0,1.0,0.0,1216.0,2003.0,999000.0,999000,822.0,40.800534,-73.947361,New York,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3648.0,1216.0
SOLD,SINGLE_FAMILY,1252A  77th St,Brooklyn,11228,3.0,2.0,0.0,1144.0,1920.0,1188000.0,1100000,962.0,40.619496,-74.009684,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3432.0,2288.0
SOLD,SINGLE_FAMILY,4012  Farragut Rd,Brooklyn,11210,4.0,2.0,0.0,1836.0,1920.0,799000.0,780000,425.0,40.636659,-73.93798,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7344.0,3672.0
SOLD,MULTI_FAMILY,27  Hickory Ave,Staten Island,10305,5.0,2.0,0.0,1789.0,1962.0,988000.0,990000,553.0,40.596956,-74.074173,Richmond,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8945.0,3578.0
SOLD,CONDOS,500 W 45th St,New York,10036,1.0,1.0,0.0,652.0,2019.0,1495000.0,1335000,2048.0,40.761696,-73.994659,New York,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,652.0,652.0
SOLD,MULTI_FAMILY,2793  Valentine Ave,Bronx,10458,6.0,3.0,0.0,1381.5,1925.0,699999.0,670000,484.98009410061525,40.868594,-73.890941,Bronx,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8289.0,4144.5
SOLD,MULTI_FAMILY,1952  Blackrock Ave,Bronx,10472,6.0,2.0,1.0,2006.0,1955.0,938000.0,890000,444.0,40.827809,-73.857918,Bronx,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,12036.0,5015.0
SOLD,SINGLE_FAMILY,3166  Avenue W,Brooklyn,11229,2.0,1.0,1.0,1176.0,1920.0,599000.0,570000,485.0,40.596771,-73.931302,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,2352.0,1764.0
SOLD,MULTI_FAMILY,15-20  147th St,Whitestone,11357,4.0,2.0,0.0,1381.5,1935.0,999000.0,1115000,807.0937386898299,40.786013,-73.818673,Queens,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5526.0,2763.0
SOLD,MULTI_FAMILY,226  12th St,Brooklyn,11215,5.0,5.0,1.0,3600.0,1909.0,2999990.0,2999990,833.0,40.668119,-73.989875,Kings,115.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,18000.0,19800.0
SOLD,COOP,300 W 145th St,New York,10039,1.0,1.0,0.0,680.0,2005.0,395000.0,389000,572.0,40.822914,-73.942589,New York,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,680.0,680.0
SOLD,SINGLE_FAMILY,47-28  204th St,Bayside,11361,3.0,1.0,0.0,1381.5,1920.0,899000.0,850000,615.2732537097357,40.753555,-73.776614,Queens,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4144.5,1381.5
SOLD,COOP,32-22  91 St,East Elmhurst,11369,2.0,1.0,0.0,875.0,1952.0,369000.0,325000,371.0,40.757725,-73.877518,Queens,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1750.0,875.0
SOLD,COOP,250 W 94th St,New York,10025,4.0,1.0,0.0,2250.0,1925.0,3250000.0,3300000,1467.0,40.793409,-73.973464,New York,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9000.0,2250.0
SOLD,SINGLE_FAMILY,17  Campus Pl,Brooklyn,11208,4.0,1.0,1.0,1562.0,1920.0,649000.0,685000,439.0,40.684536,-73.871699,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,6248.0,2343.0
SOLD,SINGLE_FAMILY,151  Thornycroft Ave,Staten Island,10312,3.0,1.0,0.0,1000.0,1955.0,659000.0,610000,610.0,40.536905,-74.153129,Richmond,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3000.0,1000.0
